region,category,subcategory,channel,revenue,units,profit
North,Furniture,Office,In-Store,4770.03,51,1518.14
West,Groceries,Produce,Mobile,54648,115,4947.31
South,Sports,Team Sports,Mobile,1954.53,9,259.82
West,Groceries,Produce,Mobile,45431.4,116,17397.37
North,Sports,Gym,Mobile,2026,8,228.67
East,Beauty,Makeup,In-Store,1679.69,109,715.99
West,Clothing,Women,In-Store,5840.52,34,1867.29
East,Beauty,Makeup,Mobile,27978.16,188,5812.19
East,Sports,Outdoor,Online,16416,114,6660.81
East,Groceries,Bakery,Online,4534.92,108,238.08
East,Beauty,Haircare,Online,3719.8,14,351.61
South,Furniture,Office,In-Store,8609.28,24,1067.52
East,Electronics,Laptops,In-Store,10611.21,123,4138.38
East,Sports,Outdoor,In-Store,1111.73,107,482.57
South,Groceries,Dairy,Online,68642.92,179,14492.24
North,Clothing,Men,In-Store,57804.31,151,6728.68
North,Sports,Team Sports,Mobile,33792,160,8191.81
East,Beauty,Makeup,Online,16897.72,116,4125.5
West,Furniture,Bedroom,In-Store,37123.24,154,12969.07
South,Furniture,Living Room,In-Store,15988.28,77,1432.35
East,Electronics,Laptops,Mobile,41109.11,131,7255.44
North,Clothing,Women,Online,3360.87,107,767.57
North,Clothing,Kids,Mobile,73160.84,148,4056.18
North,Sports,Outdoor,Mobile,6806.06,142,1761.77
West,Electronics,Phones,Online,13260.48,38,1977.51
West,Electronics,Accessories,In-Store,363.3,15,33.48
South,Electronics,Accessories,Mobile,2942.08,8,246.25
East,Clothing,Men,In-Store,69557.4,198,17917.38
West,Clothing,Men,Mobile,91.84,4,34.26
East,Electronics,Accessories,Online,17608.8,87,1269.12
West,Sports,Outdoor,Online,83372.16,173,19051.31
North,Groceries,Dairy,Online,33013.53,99,6516.03
East,Electronics,Laptops,Mobile,295.35,15,28.42
South,Furniture,Office,Online,46050.6,141,15737.96
East,Electronics,Tablets,Mobile,4618.77,13,1517.37
West,Beauty,Haircare,Mobile,9407.88,27,4223.58
South,Groceries,Produce,Online,6787.44,132,2385.96
North,Beauty,Haircare,Mobile,5184.96,44,462.58
North,Groceries,Produce,Mobile,38680.2,78,5597.17
North,Furniture,Living Room,Online,8167,25,1452.04
North,Clothing,Women,Mobile,46211.36,169,8617.93
North,Sports,Outdoor,Online,42140.4,120,11040.94
West,Furniture,Living Room,Online,22522.32,54,8205.59
West,Beauty,Skincare,Online,6500.03,23,1035.27
South,Beauty,Makeup,Online,14559.15,31,3485.49
West,Furniture,Office,In-Store,18344.48,44,1092.2
East,Electronics,Phones,Mobile,83617.92,192,13920.9
South,Clothing,Kids,Mobile,21736.26,78,8933.71
East,Electronics,Phones,Online,15916.92,146,6917.85
South,Clothing,Kids,Online,68741.52,172,13126.53
West,Electronics,Laptops,Mobile,38273.62,154,15457.12
East,Groceries,Produce,Mobile,1899.75,17,115.8
East,Groceries,Dairy,In-Store,23107.2,48,9915.81
South,Furniture,Living Room,In-Store,7130.48,34,2455.83
East,Clothing,Women,Online,66949.65,185,20256.62
South,Sports,Outdoor,Mobile,21946,50,6969.5
South,Groceries,Dairy,Mobile,22261.1,167,5311.98
North,Clothing,Men,Mobile,10266.96,22,2941.32
South,Groceries,Bakery,Mobile,1676.64,12,517.85
South,Electronics,Laptops,Online,8437.88,22,1950.65
East,Beauty,Skincare,Online,518.7,78,192.67
East,Beauty,Makeup,In-Store,11767.81,43,854.63
South,Electronics,Accessories,Mobile,70369.52,142,18469.72
West,Beauty,Skincare,Mobile,6298,47,1745.23
West,Sports,Team Sports,Mobile,16404.52,92,1317.79
South,Sports,Gym,Mobile,12652.75,107,4884.82
South,Groceries,Produce,In-Store,61659.18,171,22328.96
North,Electronics,Laptops,Online,12607.71,177,5340.45
North,Furniture,Bedroom,In-Store,32832.32,148,2663.06
East,Beauty,Makeup,In-Store,1259.94,33,141.23
North,Furniture,Office,Mobile,45779.3,170,16642.3
South,Electronics,Laptops,Mobile,9237.8,68,3835.77
West,Electronics,Tablets,In-Store,11957.4,60,779.34
East,Furniture,Bedroom,In-Store,19896.03,77,4792.08
East,Clothing,Women,Mobile,1318.08,6,469.94
South,Furniture,Bedroom,Mobile,50613,150,14086.62
North,Sports,Gym,Online,29434.8,76,12787.46
East,Groceries,Dairy,Mobile,26720.85,193,11844.54
East,Furniture,Living Room,Online,15035.68,176,5326.66
North,Clothing,Women,In-Store,15186.6,55,4976.9
South,Clothing,Men,Mobile,45019.26,143,6275.51
North,Clothing,Men,Online,25623.31,103,7096.65
East,Electronics,Accessories,In-Store,75942,180,12260.25
West,Groceries,Produce,Online,11149.92,144,4138.19
East,Beauty,Skincare,Mobile,5617.43,91,1476.17
North,Groceries,Bakery,Online,66300.52,134,27325.86
North,Groceries,Produce,Mobile,5220,12,2085.08
North,Beauty,Skincare,In-Store,30668.28,114,6539.05
West,Sports,Gym,In-Store,627.6,6,245.05
South,Clothing,Women,Online,64975.68,168,28872.17
West,Furniture,Living Room,Mobile,46114.56,128,15864.7
South,Electronics,Tablets,Online,20300.67,117,7757.05
West,Furniture,Office,Online,79903.81,179,7253.2
East,Beauty,Haircare,Mobile,670.22,94,113.28
South,Furniture,Office,In-Store,41423.9,170,5589.78
North,Clothing,Men,Mobile,70109.55,189,21266.96
East,Groceries,Dairy,Mobile,68928.08,191,11515.19
East,Sports,Team Sports,Mobile,12649,91,3662.94
North,Beauty,Skincare,In-Store,11769.25,179,3038.24
West,Electronics,Accessories,Mobile,32113.8,90,11456.14
South,Furniture,Living Room,Mobile,7288.72,62,1871.43
South,Beauty,Skincare,Online,8913,150,906.97
North,Clothing,Kids,Mobile,22060.72,106,9196.79
East,Electronics,Tablets,Mobile,52688.1,170,14200.31
South,Electronics,Phones,Mobile,43627.28,94,5338.31
West,Furniture,Living Room,Mobile,37139.2,112,8535.59
South,Sports,Outdoor,In-Store,31420.99,67,10680.41
West,Sports,Gym,Online,53638.56,144,16089.16
North,Beauty,Makeup,In-Store,24771.34,109,7586.92
South,Beauty,Makeup,Online,9486.35,23,2604.22
East,Beauty,Makeup,Mobile,7948.51,103,2010.25
North,Beauty,Makeup,Online,12153.3,30,4416.75
South,Groceries,Bakery,Mobile,1229.76,24,435.82
North,Groceries,Produce,Mobile,46310.04,138,20406.28
East,Clothing,Men,Mobile,95202.04,191,28707.23
East,Groceries,Produce,Mobile,29046.06,149,1544.94
South,Clothing,Women,In-Store,4680,45,1681.04
West,Furniture,Office,Mobile,2383.44,12,604.52
North,Groceries,Bakery,Online,34256.64,192,14899.12
East,Sports,Outdoor,In-Store,12160.93,193,4013.19
North,Electronics,Phones,In-Store,2648.1,6,1166.51
South,Sports,Outdoor,Mobile,16258.28,106,1554.25
West,Clothing,Women,In-Store,24711.12,56,8508.19
South,Clothing,Women,Mobile,764.34,2,174.21
South,Electronics,Tablets,In-Store,17410.5,146,7719.92
West,Beauty,Skincare,Mobile,537.15,15,199.51
South,Groceries,Bakery,In-Store,6885.6,48,1458.51
South,Sports,Outdoor,Online,58030.83,117,10426.75
West,Sports,Team Sports,Online,21527.88,188,5108.97
West,Groceries,Produce,Mobile,33649.77,147,8498.75
West,Electronics,Tablets,In-Store,23976.48,76,6931.22
South,Groceries,Dairy,In-Store,36186.88,128,4305.14
West,Electronics,Accessories,Mobile,80881.29,171,9713.57
West,Beauty,Haircare,In-Store,85574.45,173,20527.2
North,Groceries,Dairy,Online,3220.56,42,762.58
East,Groceries,Bakery,In-Store,3896.36,26,296.54
West,Beauty,Skincare,Mobile,9286.04,83,3092.5
North,Beauty,Haircare,Mobile,33758.22,94,13328.44
East,Electronics,Tablets,Mobile,4005.68,184,1617.26
East,Electronics,Phones,Online,6291.4,20,2209.14
South,Sports,Outdoor,Mobile,2022.1,5,586.16
South,Electronics,Phones,Online,4760.69,11,2001.06
North,Sports,Team Sports,Online,16091.46,77,2984.19
East,Beauty,Makeup,Mobile,4649.61,147,1879.14
West,Groceries,Bakery,In-Store,39458.76,179,14357.69
West,Clothing,Men,Mobile,2348.22,6,119.27
East,Electronics,Tablets,In-Store,10676.64,24,3218.66
South,Groceries,Produce,In-Store,4069.8,12,715.65
East,Sports,Gym,Mobile,36500.39,101,6649.17
West,Furniture,Bedroom,Online,22326.95,85,8265.12
North,Clothing,Kids,Mobile,39065.02,134,15585.56
North,Clothing,Men,In-Store,16447.16,68,4345.22
West,Furniture,Bedroom,Mobile,57843.63,117,10375.12
West,Groceries,Bakery,In-Store,16687.32,52,4249.09
South,Sports,Outdoor,Mobile,62046.84,131,23772.2
South,Furniture,Office,In-Store,34243.02,189,8471.59
North,Beauty,Makeup,In-Store,2880.96,6,698.34
West,Electronics,Laptops,Online,955.11,39,160.74
West,Beauty,Makeup,Mobile,27522.99,81,2565.67
East,Electronics,Tablets,Online,30185.5,73,1729.55
East,Furniture,Bedroom,In-Store,6674.67,177,2413.93
West,Groceries,Produce,Mobile,4864.8,80,2111.5
South,Groceries,Dairy,Mobile,3797.56,109,1457.33
West,Sports,Outdoor,In-Store,22156,116,9593.74
East,Electronics,Phones,Mobile,22403.66,107,2672.65
East,Groceries,Produce,Mobile,32653.3,101,7757.31
East,Groceries,Produce,In-Store,2351.96,52,829.59
South,Groceries,Bakery,Mobile,11430.24,48,1933.25
East,Furniture,Office,Mobile,2554.25,25,1012.21
West,Furniture,Office,Mobile,11304.9,90,2387.4
South,Beauty,Skincare,In-Store,29185.52,104,3126.84
South,Electronics,Tablets,Mobile,43325.1,117,10623.57
East,Electronics,Tablets,Online,40957.29,121,16703.79
South,Groceries,Bakery,Mobile,15190,70,1633.45
North,Electronics,Phones,Mobile,35837.62,98,11004.53
South,Clothing,Women,Online,19741.68,56,8649.49
West,Sports,Outdoor,In-Store,45814.95,135,13039.47
West,Furniture,Office,In-Store,2594.16,27,590.93
South,Groceries,Bakery,Mobile,41945.8,85,10358.63
South,Clothing,Women,In-Store,33331.39,89,12976.22
North,Electronics,Laptops,Online,1577.4,11,168.41
West,Sports,Gym,Mobile,27771.09,197,4155.23
North,Groceries,Dairy,Mobile,640.32,16,276.68
West,Furniture,Living Room,In-Store,61339.68,162,5556.28
West,Electronics,Laptops,Mobile,49387.6,148,9601.79
West,Groceries,Bakery,Mobile,57620.68,116,15635.38
East,Sports,Team Sports,In-Store,2827.22,181,1011.28
North,Clothing,Men,Online,15745.86,78,6489.72
North,Furniture,Living Room,Online,945.1,65,321.21
South,Groceries,Produce,Mobile,415.48,47,120.46
South,Groceries,Dairy,Mobile,23757.36,88,9819.07
West,Beauty,Haircare,Online,59996.69,169,26830.72
South,Beauty,Makeup,In-Store,43223.63,113,7860.62
East,Groceries,Produce,Mobile,14002.05,85,4767.44
West,Electronics,Accessories,In-Store,67769.1,155,15701.54
North,Electronics,Phones,In-Store,21525.56,59,8077.44
South,Beauty,Haircare,Online,10241.26,194,1023.04
North,Sports,Team Sports,Mobile,5865.92,92,719.83
North,Electronics,Laptops,Online,5302.92,118,1032.64
East,Furniture,Office,In-Store,2444.16,192,567.02
West,Clothing,Kids,Mobile,85545.9,198,27083.9
East,Furniture,Bedroom,Online,26228.61,81,9630.78
South,Furniture,Office,In-Store,12910.95,195,4895.17
South,Furniture,Office,In-Store,582.84,4,196.82
South,Groceries,Dairy,In-Store,32155.84,184,14237.2
South,Groceries,Dairy,Mobile,31717,175,10277.38
East,Sports,Gym,Mobile,4125.42,86,1123.53
West,Beauty,Makeup,Mobile,625.48,2,55.69
South,Clothing,Men,In-Store,38050.29,159,10246.52
East,Groceries,Bakery,Mobile,15763.24,58,1588.3
West,Clothing,Kids,Online,41988.14,146,10683.62
South,Sports,Outdoor,Mobile,85999.7,190,37750.61
East,Electronics,Laptops,Online,50022.63,189,13666.93
West,Sports,Gym,Online,9480.68,116,1820.12
East,Sports,Team Sports,Online,29922.33,61,7089.87
North,Beauty,Haircare,Mobile,12823.36,176,2109.02
East,Groceries,Dairy,Mobile,10802.12,28,2203.91
South,Electronics,Laptops,In-Store,6521.55,21,898.98
North,Sports,Outdoor,Online,7135.07,47,959.14
West,Electronics,Laptops,Online,23253.08,59,10191.93
East,Furniture,Office,In-Store,43092.18,106,6233.34
East,Furniture,Living Room,Online,16222.47,41,5793.31
South,Electronics,Laptops,Online,17252.28,68,5199.37
West,Clothing,Men,In-Store,1575.6,52,367.24
East,Electronics,Accessories,Mobile,33650.15,115,4031.24
West,Clothing,Women,Online,8876.14,26,3634.96
West,Furniture,Living Room,Online,974.82,33,400.51
North,Groceries,Bakery,Mobile,15588.43,121,3763.24
West,Groceries,Bakery,Mobile,7044.16,32,579.38
South,Electronics,Tablets,In-Store,44209.2,168,11498.54
North,Sports,Gym,Mobile,15048.4,85,1866.57
West,Electronics,Tablets,Mobile,32212.25,175,4903.76
East,Sports,Gym,In-Store,10282.15,115,4597.12
West,Electronics,Phones,In-Store,44636.67,157,3452.12
West,Electronics,Laptops,Online,948.86,22,245.85
South,Furniture,Living Room,Online,72203.56,169,12913.86
South,Clothing,Kids,In-Store,75645.96,156,26716.98
North,Electronics,Accessories,Mobile,61668.3,186,24896.34
West,Furniture,Living Room,In-Store,37440,80,6458.78
East,Groceries,Bakery,Online,13334.02,161,5457.48
East,Sports,Gym,In-Store,7359.98,34,671.78
North,Groceries,Dairy,Online,32971.39,131,11951.09
North,Furniture,Office,In-Store,15855.7,35,1959.29
East,Groceries,Bakery,In-Store,56988.54,126,24481.99
North,Sports,Outdoor,Online,6257.04,24,1434.22
North,Sports,Outdoor,Online,34153.6,104,7690.96
South,Sports,Outdoor,Mobile,26870.2,85,7642.68
North,Sports,Outdoor,Online,57703.03,137,6900.8
North,Furniture,Living Room,Online,27273.4,121,8430.01
North,Furniture,Bedroom,Online,53246.83,169,22928.82
North,Groceries,Bakery,Mobile,24211.25,125,4528.82
East,Electronics,Laptops,In-Store,19964.25,75,4142.87
West,Clothing,Women,Online,33067.69,137,7454.34
West,Beauty,Haircare,In-Store,18769.38,58,5831.4
South,Groceries,Produce,In-Store,67392.75,177,21406.37
East,Groceries,Produce,Mobile,38782.8,81,6918.69
West,Groceries,Dairy,Mobile,21378.33,81,1471.32
West,Beauty,Skincare,Mobile,8923.35,93,1293.36
East,Electronics,Phones,Online,1519.38,23,498.13
East,Sports,Team Sports,In-Store,26061.84,126,5234.51
East,Beauty,Haircare,Online,904.4,152,231.38
East,Sports,Team Sports,Mobile,19608.05,77,2471.94
West,Electronics,Laptops,Mobile,40575.06,174,6340.3
West,Sports,Gym,Mobile,26915.49,189,6848.6
West,Groceries,Dairy,Online,7237.2,40,1975.22
East,Electronics,Phones,In-Store,706.41,47,183.84
South,Beauty,Skincare,In-Store,16754.65,55,1812.02
East,Furniture,Office,Online,916.98,2,81.68
North,Clothing,Kids,In-Store,6709.22,119,1140.15
East,Groceries,Dairy,Online,34351.46,143,3747.73
North,Electronics,Tablets,In-Store,64343.27,131,23735.81
West,Electronics,Accessories,In-Store,80801.52,197,10735.34
South,Groceries,Produce,Mobile,4078.8,72,1652.5
North,Clothing,Women,Mobile,3953.3,13,1384.47
South,Beauty,Skincare,In-Store,16377.3,186,5146.43
South,Electronics,Tablets,Online,41351.68,128,10862.08
East,Electronics,Accessories,In-Store,69398.91,189,19589.67
West,Furniture,Bedroom,Mobile,6900.46,14,1783.85
West,Electronics,Accessories,Mobile,42404.64,92,18130.53
East,Sports,Team Sports,Mobile,31600.44,122,5161.1
South,Electronics,Tablets,Mobile,30049.04,92,2076.09
West,Electronics,Accessories,Online,32983.15,145,3467.46
East,Electronics,Laptops,Mobile,49699.88,148,6054.79
East,Clothing,Men,Online,34651.8,186,10826.51
South,Beauty,Haircare,Online,49370.42,121,15974.34
North,Clothing,Kids,In-Store,32769.44,176,13277.18
West,Clothing,Women,Online,7568.99,67,1646.52
South,Electronics,Accessories,Online,46127.25,95,10742.74
South,Beauty,Skincare,Mobile,10989.63,23,607.03
North,Furniture,Office,In-Store,10797.05,67,811.75
East,Groceries,Bakery,Online,19670.42,106,5025.83
North,Beauty,Makeup,Mobile,21560.44,44,4363.78
North,Sports,Outdoor,Mobile,7661.08,28,2101.6
West,Furniture,Bedroom,Online,76318.88,176,23771.53
West,Clothing,Men,In-Store,4207.77,63,814.38
South,Groceries,Produce,Mobile,21104,80,3509.01
West,Sports,Team Sports,Online,52500,140,4761.21
East,Furniture,Bedroom,Online,39262.74,93,14649.44
North,Electronics,Phones,Online,17974.32,91,5584.21
North,Beauty,Haircare,Mobile,10912.72,28,4006.08
East,Furniture,Bedroom,In-Store,5398.84,71,335.71
West,Furniture,Bedroom,Mobile,45405.68,184,7326.56
East,Clothing,Kids,In-Store,26448.78,83,5549.87
West,Beauty,Makeup,In-Store,38105.91,107,11697.94
North,Groceries,Produce,Mobile,24534.56,113,10329.3
West,Beauty,Haircare,Online,2332.05,21,864.18
West,Electronics,Accessories,In-Store,14417.06,134,739.45
North,Electronics,Tablets,In-Store,2781.48,156,1119.78
West,Sports,Team Sports,Mobile,12133.44,176,4318.11
West,Beauty,Makeup,In-Store,14454.94,194,4619.37
South,Beauty,Makeup,Mobile,2039.76,9,676.54
East,Beauty,Skincare,In-Store,29863.5,86,3640.39
East,Beauty,Haircare,Mobile,20355.75,45,2015.7
North,Beauty,Haircare,In-Store,71421.1,199,8843.89
South,Clothing,Women,In-Store,35473.71,129,6091.25
East,Clothing,Women,In-Store,433.84,8,183.94
North,Sports,Outdoor,In-Store,51650.04,113,20698.97
South,Electronics,Phones,Online,48518.19,199,5790.52
South,Sports,Outdoor,Mobile,12433.6,76,5538.14
South,Groceries,Produce,In-Store,18887.14,38,4953.53
West,Groceries,Bakery,In-Store,49669.2,168,11632.34
East,Groceries,Dairy,In-Store,6128.72,71,2326.95
East,Beauty,Haircare,In-Store,87733.94,191,27077.55
North,Groceries,Dairy,Mobile,57522,150,11003.47
North,Groceries,Dairy,In-Store,5220.7,17,2323.09
North,Furniture,Living Room,Mobile,62025.6,130,5378.21
West,Groceries,Produce,In-Store,15989.16,132,2260.37
South,Clothing,Men,Mobile,60296.8,145,18875.74
South,Groceries,Dairy,Mobile,53041.98,166,9852.69
East,Clothing,Women,Online,11332.31,71,3901.68
West,Sports,Outdoor,Mobile,44916.9,146,18696.27
East,Electronics,Laptops,In-Store,3893.78,121,841.4
East,Sports,Outdoor,Online,29254.68,63,8919.76
South,Beauty,Skincare,Online,1669.76,16,352.43
North,Sports,Outdoor,Mobile,4684.32,24,993.11
West,Clothing,Men,Online,1949.05,85,771.43
East,Furniture,Living Room,In-Store,25966.8,90,8700.66
West,Furniture,Office,Online,7911.04,94,3543.4
South,Sports,Team Sports,In-Store,47469.87,151,10410.53
East,Clothing,Women,Online,8216.4,41,1391.57
West,Beauty,Skincare,Mobile,6467.4,18,2085.53
West,Clothing,Kids,In-Store,4768.4,104,2105.79
East,Beauty,Makeup,In-Store,47736.54,158,17108.14
West,Groceries,Dairy,Mobile,58078.8,136,4573.19
East,Clothing,Kids,Online,35943.6,140,10758.23
South,Groceries,Dairy,Online,17660.16,36,7309.59
West,Furniture,Living Room,In-Store,22664.88,168,2474.47
South,Electronics,Phones,In-Store,74582.4,160,27529.49
North,Groceries,Produce,In-Store,33539.52,93,11310.52
West,Electronics,Tablets,Online,38340.12,156,6620
West,Groceries,Produce,In-Store,1070.18,73,79.31
South,Groceries,Produce,Mobile,8601.71,127,3064.08
South,Electronics,Accessories,Mobile,51464.85,145,18976.51
East,Electronics,Tablets,In-Store,6999.74,22,2770.95
East,Furniture,Bedroom,Mobile,24392.69,49,3892.7
West,Electronics,Tablets,In-Store,29507.4,195,8128.84
North,Clothing,Kids,In-Store,14873.22,162,6534.93
East,Furniture,Living Room,Online,68462.88,172,13079.57
East,Electronics,Accessories,Mobile,6636.8,128,884.53
South,Beauty,Skincare,Mobile,21021.11,79,5205.86
East,Sports,Outdoor,Mobile,12656.16,36,1151.87
West,Beauty,Makeup,In-Store,29223.36,73,13137.63
West,Sports,Gym,Online,32634,98,5565.35
South,Beauty,Haircare,Online,3201.88,22,1388.05
North,Electronics,Accessories,In-Store,43412.05,187,4163.56
South,Clothing,Women,In-Store,2803.36,16,295.49
East,Furniture,Living Room,Online,26027.04,104,4348.13
North,Sports,Outdoor,Online,23213.75,175,7725.22
West,Furniture,Office,Mobile,38269.84,148,12951.81
West,Sports,Outdoor,Mobile,32052.26,127,8240.81
East,Groceries,Produce,In-Store,14288.95,89,4953.27
West,Beauty,Makeup,Online,51675.6,120,2999.16
South,Clothing,Kids,Online,51317.1,190,11226.48
East,Beauty,Makeup,Online,21323.25,75,6349.55
North,Sports,Outdoor,In-Store,52128.36,124,2667.93
South,Beauty,Haircare,Mobile,266.73,17,60.01
East,Sports,Outdoor,In-Store,54316.08,182,12612.63
East,Clothing,Men,Online,11417.43,69,1969.44
East,Groceries,Produce,Online,23449.02,62,4595.55
East,Electronics,Accessories,Online,1228.68,9,439.74
West,Beauty,Makeup,Online,909.96,2,325.09
West,Beauty,Haircare,In-Store,67254,165,21223.37
East,Electronics,Phones,Online,1575.42,21,662.49
West,Groceries,Produce,Online,29126.28,173,7315.82
East,Sports,Team Sports,In-Store,25394.39,199,9780.9
East,Electronics,Accessories,Mobile,10204.16,32,1591.23
South,Beauty,Haircare,Online,296,40,62.68
North,Furniture,Living Room,Mobile,47076.24,146,10668.5
North,Beauty,Skincare,In-Store,46592.48,184,3707.91
South,Sports,Outdoor,Mobile,23033.78,77,10119.07
East,Furniture,Office,In-Store,19312.64,64,3713.89
South,Electronics,Phones,Online,41627.46,147,17336.65
South,Electronics,Tablets,Online,67780.98,171,4424.02
North,Sports,Outdoor,Mobile,27016.29,63,7973.35
West,Groceries,Dairy,In-Store,61909.6,152,8678.84
North,Beauty,Skincare,In-Store,2154.87,9,330.25
South,Clothing,Women,In-Store,12619.8,60,988.29
North,Clothing,Kids,Mobile,22239.87,131,4077.43
South,Sports,Team Sports,In-Store,73506.17,149,6834.51
West,Beauty,Skincare,In-Store,26158.44,57,2916.02
South,Groceries,Bakery,Mobile,80995.46,191,33360.54
South,Sports,Outdoor,Mobile,85519.95,185,15025.38
East,Sports,Outdoor,Online,518.49,63,34.1
West,Sports,Team Sports,Online,951.7,155,356.81
South,Groceries,Bakery,In-Store,6633.9,135,2945.24
South,Furniture,Living Room,Mobile,4046.4,48,1590.48
South,Groceries,Bakery,Online,475.42,22,125.73
East,Electronics,Tablets,Online,2804.5,10,1029.59
South,Clothing,Women,Mobile,7094.22,114,3006.19
West,Beauty,Skincare,Mobile,853.75,5,88.64
East,Electronics,Phones,Online,6078.2,20,2472.53
South,Electronics,Tablets,In-Store,16175.08,38,4391.86
East,Beauty,Makeup,In-Store,49855.98,131,12191.53
North,Electronics,Accessories,Mobile,32817,100,10407.48
North,Furniture,Office,Online,3717.63,9,1350.35
North,Groceries,Produce,In-Store,8819.72,26,3720.76
West,Clothing,Women,Online,22406.68,83,1223.5
North,Clothing,Men,Online,3452.12,14,1461.86
South,Furniture,Office,Mobile,61571.06,166,8315.96
North,Sports,Outdoor,Online,73213.84,152,10304.16
East,Beauty,Makeup,In-Store,13262.61,59,5707.7
North,Sports,Gym,Online,36713.6,160,4916.87
South,Beauty,Haircare,Online,19263.91,53,2611.02
West,Clothing,Women,Online,17815.32,71,2521.31
North,Groceries,Produce,Mobile,30696.45,113,3005.76
South,Beauty,Haircare,Mobile,62081.04,196,3900.11
South,Groceries,Dairy,Mobile,5948.16,24,1546.88
South,Sports,Gym,In-Store,1995.44,4,830.79
West,Furniture,Living Room,Online,7788.1,19,611.86
North,Beauty,Haircare,In-Store,37134.2,166,9275.93
North,Electronics,Laptops,Mobile,47534.04,162,3030.7
South,Sports,Team Sports,In-Store,23164.24,121,3209.2
East,Clothing,Women,In-Store,30250.24,128,8124.87
East,Clothing,Kids,In-Store,27338.83,59,5561.63
South,Sports,Gym,In-Store,65.81,1,9.07
East,Furniture,Living Room,In-Store,27170.55,55,10492.45
South,Clothing,Men,Online,68799.52,158,14150.46
South,Sports,Gym,Online,29313.51,167,1608.98
South,Beauty,Skincare,Online,4305.26,167,802.77
North,Sports,Outdoor,Mobile,11595.36,98,1816.73
East,Clothing,Men,In-Store,33057.54,86,4094
South,Groceries,Dairy,Online,13484.1,35,772.89
East,Groceries,Bakery,Mobile,6839.44,47,506.6
North,Electronics,Tablets,Online,1778.91,21,296.92
South,Sports,Team Sports,In-Store,87637.55,187,14127.76
North,Electronics,Phones,Mobile,23478.84,196,2029.95
North,Electronics,Accessories,Mobile,55155.07,191,9905.41
South,Sports,Outdoor,Online,1332.48,32,264.77
East,Clothing,Kids,In-Store,6979.68,37,801.97
North,Sports,Gym,Mobile,12906.99,183,4503.47
East,Electronics,Phones,In-Store,2490.8,52,428.41
East,Beauty,Haircare,In-Store,18653.92,184,8241.54
East,Sports,Gym,Online,583.68,76,252.25
West,Furniture,Living Room,Mobile,25439.04,66,2852.47
West,Groceries,Produce,In-Store,2337.84,51,392.87
East,Electronics,Phones,In-Store,9873.66,129,2490.76
West,Furniture,Living Room,Online,61690.06,194,8803.29
North,Clothing,Men,Online,14913.2,92,3296.01
East,Furniture,Office,Mobile,74516.4,180,18483.51
North,Furniture,Office,Mobile,17808.9,178,6209.95
West,Clothing,Men,In-Store,66664.8,197,26296.18
West,Electronics,Tablets,Online,36840.9,111,11559.36
East,Sports,Team Sports,Online,5057.64,189,374.11
South,Electronics,Phones,In-Store,7274.94,37,2358.65
West,Beauty,Haircare,In-Store,20038.35,89,7805.65
East,Electronics,Laptops,Mobile,44319,132,15982.4
East,Electronics,Phones,In-Store,11186.47,47,4671.91
South,Beauty,Haircare,Online,38507.2,82,17054.63
West,Electronics,Tablets,In-Store,5352.27,49,2390.55
North,Groceries,Dairy,Mobile,2910.6,135,209.29
South,Clothing,Kids,Online,43274,175,13117.23
South,Furniture,Bedroom,Online,5975.06,14,2381.77
North,Sports,Gym,Mobile,23393.25,111,9906.8
North,Electronics,Phones,Mobile,7088.83,37,1811.5
East,Clothing,Men,In-Store,19291.62,94,2910.55
North,Beauty,Haircare,Mobile,1026.5,5,130.26
North,Furniture,Living Room,Mobile,3908.79,93,1504.19
South,Groceries,Produce,In-Store,8271.5,71,2824.73
East,Sports,Gym,In-Store,38949.7,106,11138.81
North,Groceries,Produce,Mobile,35059.44,102,15312.65
West,Sports,Team Sports,Mobile,42875.36,187,16008.4
North,Groceries,Bakery,Online,40383.41,109,14200.9
South,Furniture,Living Room,In-Store,65448.82,166,13393.31
West,Electronics,Accessories,In-Store,3985.56,12,939.34
West,Sports,Outdoor,In-Store,7560.18,97,2676.68
East,Groceries,Bakery,In-Store,3872.97,69,1396.5
West,Sports,Outdoor,Online,4030.41,111,1413.36
East,Clothing,Women,Mobile,15508.8,135,5804.52
East,Furniture,Bedroom,In-Store,73808,175,24862.37
South,Sports,Gym,In-Store,16180.92,63,4303.58
South,Electronics,Laptops,Online,22268.13,141,4874.84
North,Clothing,Men,Mobile,10582.5,50,3081.47
North,Beauty,Makeup,Online,10229.24,196,1745.7
South,Sports,Team Sports,Online,978.42,3,241.6
South,Beauty,Haircare,Online,11621.11,61,5169.09
East,Groceries,Produce,Mobile,6376.44,42,2747.83
West,Electronics,Tablets,Online,25837.88,134,8406.05
South,Beauty,Makeup,Online,32393.16,102,5146.56
South,Electronics,Tablets,Online,30686.53,107,1633.82
North,Sports,Team Sports,Mobile,11434.15,91,2473.46
East,Clothing,Women,Online,516.06,2,105.57
West,Clothing,Kids,Mobile,20252.25,45,8265.35
North,Groceries,Bakery,Mobile,52679.16,108,15848.34
West,Sports,Gym,In-Store,12063.8,98,4176.69
South,Clothing,Kids,Mobile,43742.16,88,14170.12
West,Furniture,Bedroom,Online,23667.77,131,8727.29
South,Sports,Team Sports,Mobile,15645.96,66,1469.18
North,Clothing,Kids,Mobile,5136.35,43,1371.51
