age_group,gender,region,diet_type,bmi,sleep_hours,health_score
55+,Male,Northeast,Omnivore,19.49,4.99,30.11
18-24,Male,Midwest,Keto,34.48,6.21,69.6
18-24,Female,Southeast,Vegan,31.37,8.95,84.81
18-24,Male,Northeast,Vegan,37.86,9.87,49.95
55+,Male,Northeast,Omnivore,23.29,4.64,49.85
55+,Male,Northeast,Vegan,25.27,9.46,38.38
35-44,Male,Southwest,Vegetarian,26.59,7.37,99.27
35-44,Female,Southwest,Vegan,40.71,8.13,80.51
55+,Female,Southeast,Vegetarian,32.88,5.24,82.67
18-24,Female,Northeast,Keto,33.1,9.94,67.69
25-34,Male,Midwest,Keto,38.74,9.48,38.68
25-34,Female,Southwest,Omnivore,40.49,7.98,68.16
55+,Male,West,Vegetarian,28.69,4.74,99.11
45-54,Male,Northeast,Vegan,28.79,7.43,44.92
25-34,Male,Southeast,Vegetarian,39.59,4.05,38.26
45-54,Female,Southeast,Keto,29.89,4.11,74.95
25-34,Female,Midwest,Vegetarian,37.76,7.77,83.37
35-44,Male,West,Keto,40.8,4.07,91.82
18-24,Male,Southwest,Vegan,41.34,5.83,35.75
55+,Male,Midwest,Vegan,16.74,5.11,46.22
55+,Female,Midwest,Vegetarian,18.19,6.55,78.39
55+,Female,Southeast,Omnivore,27.37,8.07,90.68
18-24,Female,Midwest,Keto,39.58,9.76,59.48
35-44,Male,Southwest,Vegan,20.71,8.84,78.59
18-24,Female,Midwest,Vegetarian,22.59,6.27,36.88
18-24,Female,Northeast,Keto,39.56,4.12,75.77
25-34,Male,Northeast,Omnivore,32.54,5.03,35.88
35-44,Female,West,Vegan,32.8,5.13,80.6
18-24,Male,Midwest,Vegan,33.68,5.16,79.81
18-24,Female,West,Omnivore,30.41,8.29,38.22
55+,Female,Southeast,Vegan,16.38,6.38,52.49
55+,Female,Southeast,Vegan,31.57,7.74,39.94
18-24,Female,West,Vegetarian,40.17,6.48,73.4
55+,Female,Southeast,Omnivore,31.61,9.54,73.13
25-34,Male,West,Vegetarian,26.21,7.35,38.75
18-24,Male,West,Omnivore,31.4,9.1,31.37
35-44,Female,Midwest,Keto,25.08,7.16,30.52
25-34,Male,Northeast,Omnivore,24.92,4.07,57.39
25-34,Male,West,Vegetarian,36.59,5.27,96.16
55+,Female,Southwest,Vegan,38.3,5.87,40.63
25-34,Female,West,Vegan,21.43,6.44,53.44
45-54,Female,Northeast,Vegetarian,37.77,8.69,38.92
25-34,Male,West,Vegan,20.32,7.12,72.42
35-44,Male,Southwest,Vegetarian,20.71,4.46,50.36
35-44,Female,Midwest,Omnivore,25.76,9.99,40.56
45-54,Male,Northeast,Keto,23.55,9.57,45.33
18-24,Male,Midwest,Omnivore,41.81,7.98,98.85
55+,Male,Southeast,Keto,19.98,4.48,78.32
55+,Female,Midwest,Keto,35.86,6.07,51.01
18-24,Female,Southeast,Vegan,22.12,8.62,41.67
18-24,Male,Midwest,Omnivore,38.88,6.48,76.15
35-44,Female,Midwest,Omnivore,35.83,4.59,55.84
18-24,Female,Midwest,Vegan,38.29,6.96,86.33
18-24,Female,Southwest,Vegetarian,24.5,6.03,45.37
55+,Female,Northeast,Omnivore,24.46,6.16,87.6
55+,Female,Midwest,Keto,22.16,9.99,76.22
25-34,Male,Northeast,Vegan,26.78,7.85,64.43
55+,Female,West,Vegetarian,19.04,4.33,62.06
18-24,Female,Northeast,Keto,38.56,6.62,74.83
55+,Female,Southeast,Omnivore,35.29,7.76,80.89
45-54,Male,Southwest,Vegetarian,36.53,4.14,87.9
35-44,Female,Southwest,Vegan,23.16,8.94,34.23
55+,Female,West,Vegan,38.99,6.07,90.62
18-24,Female,Northeast,Keto,41.14,9.18,43.39
55+,Male,Southwest,Keto,37.99,4.87,89.59
25-34,Male,Southwest,Omnivore,21.18,4.63,66.32
55+,Male,Midwest,Keto,27.36,8.09,40.25
35-44,Female,West,Vegan,34.38,8.72,64.25
18-24,Male,Southwest,Omnivore,31.54,6.04,88.06
25-34,Female,Southeast,Keto,16.54,5.14,85.39
45-54,Male,West,Keto,35.78,7.74,76.3
55+,Female,Southwest,Vegetarian,30.45,7.85,59.01
35-44,Male,West,Keto,37.52,9.07,57.3
45-54,Male,Northeast,Omnivore,37.04,7.34,77.27
55+,Female,Southwest,Omnivore,19.88,6.21,79.45
35-44,Male,Southeast,Vegetarian,20.41,8.08,62.74
55+,Female,Southeast,Keto,23.67,6.99,50.74
35-44,Male,Southeast,Vegetarian,33.11,5.53,58.06
18-24,Female,Southeast,Vegetarian,41.01,7.1,68.08
35-44,Female,Midwest,Keto,28.15,8.81,41.16
18-24,Male,Southeast,Vegetarian,19.64,4.33,67.45
35-44,Male,Southwest,Vegan,22.2,4.59,56.89
25-34,Female,Midwest,Vegan,36.74,4.67,75.93
25-34,Female,Southeast,Omnivore,24.73,6.3,44.14
25-34,Male,Northeast,Vegetarian,21.81,4.73,75.98
45-54,Female,Northeast,Omnivore,16.56,5.55,31.35
45-54,Male,Midwest,Keto,34.5,8.43,39.53
18-24,Female,Midwest,Omnivore,17.44,4.62,53.83
35-44,Female,Northeast,Vegetarian,41.48,9.47,97.31
35-44,Male,Northeast,Vegetarian,36.52,4.54,63.29
25-34,Male,West,Keto,33.26,8.3,88.03
35-44,Female,Midwest,Vegetarian,28.78,7.97,75.13
35-44,Female,Midwest,Vegan,18.68,7.81,99.96
45-54,Female,Northeast,Omnivore,17.13,4.59,32.3
35-44,Male,Northeast,Vegetarian,40.9,5.44,42.13
25-34,Female,Midwest,Omnivore,23.53,4.28,70.24
35-44,Female,Southeast,Keto,23.2,6.44,75.55
45-54,Male,Southwest,Omnivore,18.45,8.43,89.84
45-54,Male,Southwest,Vegetarian,36.34,5.88,98.99
55+,Male,Northeast,Vegetarian,17.8,7.81,36.03
55+,Male,Southwest,Omnivore,19.11,8.28,68.03
35-44,Female,West,Vegetarian,30.03,9.58,49.85
25-34,Male,Northeast,Vegan,18.61,4.28,39.63
35-44,Female,Midwest,Vegan,17.27,6.06,71.71
45-54,Female,Southeast,Keto,34.78,5.06,50.87
45-54,Male,Midwest,Omnivore,23.84,7.83,39.99
25-34,Male,Southwest,Vegetarian,37.32,7.62,88.87
25-34,Female,Southeast,Vegan,40.56,4.32,32.28
25-34,Male,Midwest,Vegan,20.16,7.9,47.79
35-44,Female,Northeast,Keto,26.08,9.83,83.51
35-44,Male,Northeast,Vegan,29.61,7.88,43.84
25-34,Male,West,Vegetarian,31.67,6.48,55.59
18-24,Female,Southwest,Omnivore,32.68,5,38.5
25-34,Male,West,Omnivore,38.36,7.2,32.08
45-54,Female,Northeast,Vegan,33.09,6.47,48.97
35-44,Female,Southeast,Vegetarian,18.12,4.38,31.77
25-34,Female,Northeast,Vegetarian,20.75,6.09,72.47
35-44,Male,Southeast,Keto,23.97,5.95,57.3
25-34,Male,Midwest,Vegan,38.12,5.52,86.32
35-44,Female,West,Vegan,30.61,9.62,75
25-34,Male,Northeast,Keto,26.34,9.65,54.83
18-24,Male,Southeast,Keto,25.36,9.33,77.63
18-24,Male,Southwest,Keto,32.57,9.38,83.67
18-24,Female,Northeast,Vegetarian,24.39,4.1,76.37
18-24,Female,West,Vegan,20.11,9.23,99.27
55+,Male,West,Vegan,23.79,5.45,88.39
45-54,Male,Southwest,Vegetarian,39.06,8.42,42.6
18-24,Male,Midwest,Vegetarian,26.81,6.71,96.53
25-34,Female,West,Vegetarian,23.15,9.84,77.38
18-24,Male,Southeast,Vegetarian,41.78,9.89,96.63
55+,Male,Southwest,Vegetarian,24.82,4.71,90.22
35-44,Female,Northeast,Omnivore,31.98,4.75,74.59
18-24,Male,West,Omnivore,28.06,4.79,95.54
18-24,Female,Midwest,Keto,37.33,6.23,71.77
35-44,Male,West,Vegan,17.81,4.32,47.75
25-34,Female,Northeast,Vegan,21.86,9.35,97.1
55+,Female,West,Omnivore,16.9,7.07,42.63
55+,Male,Southeast,Vegetarian,39.8,5.41,86
18-24,Female,Midwest,Keto,38.54,4.94,96.47
55+,Male,Midwest,Vegan,36.56,4.73,92.83
45-54,Male,West,Vegan,28,5.57,36.32
45-54,Female,Southeast,Vegan,21.94,5.76,82.52
25-34,Female,Midwest,Vegan,29.29,8.05,40.71
35-44,Male,Midwest,Keto,19.57,6.43,87.69
25-34,Female,Southeast,Keto,22.73,5.86,91.39
18-24,Female,Northeast,Vegan,19.57,6.27,39.01
45-54,Male,Northeast,Vegan,36.88,8.15,45.23
45-54,Male,Northeast,Omnivore,27.78,4.29,42.05
25-34,Male,Southwest,Keto,17.39,8.92,57.9
45-54,Male,Midwest,Vegan,33.06,9.23,84.05
45-54,Male,Midwest,Vegan,16.95,8.51,99.01
18-24,Female,Northeast,Keto,39.7,7.96,70.05
35-44,Female,Southwest,Keto,23.74,8.37,53.78
25-34,Female,Southeast,Vegan,22.83,4.26,37.63
18-24,Male,Midwest,Vegan,25.3,5.8,46.8
18-24,Female,Midwest,Keto,18,5.54,52.84
25-34,Male,Southeast,Omnivore,18.11,8.42,40.37
45-54,Male,Midwest,Vegan,18.08,7.1,85.56
25-34,Female,Northeast,Vegetarian,37.86,9.67,58.61
55+,Male,Northeast,Keto,22.12,9.74,50.67
35-44,Male,Midwest,Vegan,24.97,5.87,31.66
55+,Female,Southwest,Vegan,33.77,8.26,48.94
18-24,Female,Northeast,Vegetarian,28.08,8.42,47.98
55+,Male,Northeast,Vegan,23.68,6.89,30.45
18-24,Female,West,Vegan,17.01,4.04,59.69
45-54,Female,Northeast,Vegetarian,39.66,5.08,31.68
18-24,Male,Midwest,Keto,41.48,8.2,55.98
18-24,Male,Southeast,Vegan,27.3,8.4,60.08
35-44,Female,Midwest,Omnivore,29.1,5.38,81.98
35-44,Female,Midwest,Vegan,23.11,9.93,72.29
25-34,Female,Southeast,Keto,21.61,5.06,64.57
18-24,Female,Southwest,Vegan,40.89,9.64,79.43
18-24,Female,West,Vegan,29.83,7.32,91.49
25-34,Male,West,Vegan,27.07,4.88,67.7
55+,Female,Southeast,Vegetarian,28.65,9.63,95.05
45-54,Male,Southwest,Keto,26.87,7.54,30.24
35-44,Female,Southeast,Omnivore,34.71,9.97,36.94
55+,Male,Northeast,Vegetarian,36.77,8.78,44.5
35-44,Female,West,Vegan,33.57,5.87,84.27
35-44,Male,West,Vegan,27.59,8.17,33.42
25-34,Male,West,Omnivore,33.78,7,93.88
45-54,Male,Southeast,Vegetarian,36.36,8.51,44.99
55+,Female,Southwest,Vegan,34.51,5.18,38.96
35-44,Male,Southwest,Vegan,24.83,6.51,55.66
35-44,Male,Northeast,Omnivore,20.09,7.32,44.04
35-44,Male,Southwest,Vegetarian,19.8,6.3,70.13
45-54,Female,Southwest,Vegan,20.93,5.2,54.37
55+,Female,Midwest,Omnivore,29.51,7.08,47.25
18-24,Male,Midwest,Vegetarian,41.33,9.03,74.47
55+,Female,Southwest,Keto,21.24,4.9,54.6
25-34,Male,West,Omnivore,19.47,6.42,58.75
35-44,Male,Northeast,Vegan,40.93,8.37,90.18
55+,Male,West,Vegan,16.16,8.85,61.2
45-54,Female,West,Vegetarian,17.31,6.29,41.46
18-24,Male,Northeast,Vegetarian,38.83,8.75,45.58
35-44,Female,Midwest,Keto,40.07,5.13,80.44
55+,Male,Northeast,Vegan,26.53,4.31,89.39
35-44,Male,Midwest,Keto,20.21,8.61,86.78
35-44,Male,West,Vegetarian,34.58,4.67,70.62
35-44,Male,West,Vegan,26.87,4.04,79.58
18-24,Female,Southeast,Keto,32.47,5.44,66.91
25-34,Female,West,Keto,33.05,5.94,45.27
35-44,Male,Southeast,Omnivore,37.98,9.73,77.06
18-24,Female,Northeast,Omnivore,18.02,6.14,31.53
18-24,Male,Southwest,Omnivore,19.72,9.3,48.8
55+,Male,Southeast,Vegetarian,20.82,4.51,53.27
55+,Female,Midwest,Keto,40.33,4.18,74.75
18-24,Female,Northeast,Vegan,24.04,9,60.94
55+,Female,Northeast,Omnivore,37.1,6.72,31.63
25-34,Female,Midwest,Keto,22.31,9.57,52.15
18-24,Female,Southwest,Vegetarian,36.6,9.7,39.61
18-24,Male,Southeast,Omnivore,16.49,7.84,30.07
45-54,Male,Northeast,Vegan,29.49,9.55,48.21
18-24,Male,Southwest,Omnivore,27.33,8.94,72.25
55+,Male,West,Keto,24.81,6.01,56.8
35-44,Male,Midwest,Omnivore,31.55,7.88,75.36
55+,Male,Midwest,Vegetarian,26.88,4.27,92.12
25-34,Male,Northeast,Keto,26.67,6.71,54.81
35-44,Male,West,Vegan,18.91,5.54,49.02
45-54,Male,Northeast,Omnivore,21.56,9.77,91.55
35-44,Male,Northeast,Vegan,17.17,5.09,93.33
25-34,Female,West,Vegan,35.65,9.59,78.59
18-24,Male,West,Keto,27.8,6.56,81.14
18-24,Male,West,Vegetarian,24.32,4.07,60.97
35-44,Female,Midwest,Keto,39.18,4.87,65.35
55+,Female,Midwest,Omnivore,22.16,4.78,43.32
18-24,Female,West,Omnivore,32.16,6.47,57.85
55+,Female,Northeast,Keto,25.27,6.37,43.25
25-34,Female,Northeast,Omnivore,17.02,9.44,77.28
25-34,Male,West,Omnivore,21.77,5.27,37.53
35-44,Female,West,Vegetarian,29.92,6.68,42.59
45-54,Male,Southeast,Vegetarian,16.75,7.92,38.09
55+,Female,Northeast,Vegetarian,32.7,4.77,79.82
25-34,Female,West,Omnivore,28.45,8.61,31.9
18-24,Female,Southwest,Keto,29.32,9.66,52.44
25-34,Male,Northeast,Vegetarian,40.48,8.91,47.39
55+,Male,Southeast,Vegetarian,20.86,5.24,33.79
45-54,Female,Midwest,Vegetarian,29.66,9.12,53.82
55+,Male,Southwest,Vegetarian,16.87,7.14,56.72
35-44,Female,Southeast,Vegan,24.13,5.46,38.17
25-34,Female,West,Omnivore,19.09,8.24,88.95
25-34,Female,Midwest,Keto,37.66,5.72,55.02
35-44,Female,Northeast,Vegan,20.36,9.99,86.09
35-44,Male,Southwest,Omnivore,27.57,7.25,31.8
18-24,Female,Southeast,Vegetarian,17.05,7.48,82.15
25-34,Male,West,Vegan,38.89,7.03,71.23
18-24,Male,Northeast,Omnivore,20.97,6.3,84.78
55+,Male,West,Keto,27.59,7.18,62.18
18-24,Female,West,Vegetarian,33.51,7.76,92.42
45-54,Female,Southwest,Keto,30.86,9.18,56.37
45-54,Female,Northeast,Vegetarian,21.18,5.47,70.87
45-54,Male,Northeast,Keto,30.7,9.24,57.66
18-24,Female,Southwest,Vegan,28.46,5.85,45.42
25-34,Male,Midwest,Omnivore,41.72,6.4,85.23
55+,Female,Midwest,Omnivore,21.65,7.55,37.42
18-24,Male,West,Keto,17.83,8.82,68.97
45-54,Male,Southwest,Vegan,33.53,8.98,76.91
35-44,Male,West,Keto,22.56,4.85,50.41
45-54,Male,Northeast,Omnivore,18.24,7.85,91.4
18-24,Male,Southwest,Vegetarian,41.02,6.28,30.6
55+,Female,West,Keto,29.39,5.88,39.48
55+,Male,West,Keto,23.11,6.11,44.71
55+,Female,Midwest,Vegetarian,20.81,8.79,60.32
55+,Female,Southwest,Vegetarian,37.58,9.63,65.4
25-34,Male,Northeast,Vegan,30.21,4.79,81.68
18-24,Female,Northeast,Keto,36.35,8.52,40.13
55+,Male,Northeast,Omnivore,27.06,4.34,61.89
45-54,Male,Southwest,Vegan,23.63,4.79,35.39
35-44,Male,Southeast,Vegan,41.7,5.07,96.41
45-54,Female,Midwest,Vegan,28.68,7.22,36.29
25-34,Female,Northeast,Keto,34.88,8.56,71.22
18-24,Female,Southwest,Vegan,17,8.13,35.34
35-44,Male,Northeast,Keto,40.95,7.86,84.42
25-34,Female,Northeast,Omnivore,16.91,4.16,36.63
25-34,Female,Southwest,Vegetarian,40.74,6.48,74.35
45-54,Female,Northeast,Vegan,29.87,5.16,80.53
45-54,Male,Northeast,Vegan,24.49,5.31,63.84
45-54,Male,West,Vegetarian,25.03,7.69,83.38
55+,Male,Northeast,Keto,40.82,4.57,99.2
35-44,Female,Midwest,Vegan,35.59,8.88,87.86
55+,Female,Midwest,Vegan,18.97,4.43,83.46
18-24,Female,Southwest,Vegan,17.48,8.81,96.71
35-44,Male,Northeast,Keto,22.58,7.36,64.15
45-54,Male,Midwest,Keto,40.65,7.08,86.4
25-34,Female,Midwest,Vegetarian,30,9.03,42.8
18-24,Male,West,Keto,17.96,5.44,98.54
35-44,Female,Southwest,Keto,31.81,6.86,79.8
25-34,Female,Southeast,Omnivore,19.96,9.96,97.73
35-44,Male,Midwest,Vegan,28.98,8.47,56.05
25-34,Female,Northeast,Vegetarian,33.51,9.12,89.76
18-24,Female,Southeast,Vegetarian,37.1,9.1,63.82
25-34,Male,Midwest,Vegan,28.56,5.24,51.94
35-44,Female,Southwest,Omnivore,28.42,9.87,77.68
55+,Female,Northeast,Vegetarian,25.59,9.25,43.92
25-34,Male,Southwest,Keto,17.13,9.33,79.04
25-34,Male,Southeast,Keto,27.48,9.98,30.14
18-24,Male,Midwest,Vegetarian,19.65,5.13,34.24
35-44,Male,Southeast,Omnivore,22.2,4.73,97.14
45-54,Female,Southwest,Vegan,22.73,7.12,83.92
25-34,Female,West,Omnivore,24.41,8.32,60.83
55+,Male,Southwest,Vegetarian,34.89,5.92,74.32
25-34,Male,Southeast,Vegetarian,40.48,4.39,57.02
25-34,Male,West,Keto,27.73,7.3,69.42
55+,Male,Northeast,Vegan,16.54,4.04,35.43
25-34,Male,Southwest,Keto,37.86,9.28,84.14
25-34,Male,Midwest,Keto,37.74,5.33,72.25
35-44,Female,Midwest,Keto,39.23,6.52,87.36
25-34,Female,Midwest,Keto,30.39,8.1,55.24
25-34,Male,Southeast,Vegan,20.02,8.32,60.27
45-54,Male,Northeast,Vegan,31.3,5.89,42.05
55+,Male,Southeast,Vegan,19.09,6.25,40.52
35-44,Female,Southeast,Omnivore,21.01,8.86,50.39
35-44,Male,Southeast,Vegan,33.15,7.91,78.96
35-44,Female,Southeast,Vegetarian,20.61,7.99,51.53
18-24,Male,West,Vegan,41.72,7.59,54.36
18-24,Female,Northeast,Vegan,38.55,9.78,30.04
45-54,Female,Northeast,Vegetarian,16.15,7.96,73.78
35-44,Female,Midwest,Vegetarian,19.95,6.28,70.18
25-34,Male,Southeast,Omnivore,24.82,4.35,60.14
45-54,Male,Northeast,Vegetarian,31.76,8.85,69.98
45-54,Female,West,Vegan,21.21,5.17,30.3
25-34,Male,Midwest,Vegan,19.14,5.22,66.07
45-54,Male,Southwest,Vegan,37.12,7.37,72.42
45-54,Male,West,Keto,20.91,8.91,40.84
35-44,Male,Southwest,Omnivore,32.66,9.82,95.85
35-44,Male,Southeast,Omnivore,22.95,6,58.18
35-44,Female,Midwest,Vegetarian,18.31,7.67,64.02
18-24,Female,Southwest,Vegan,27.8,5,44.45
35-44,Male,Southwest,Vegetarian,24.43,8.74,43.33
18-24,Female,Southwest,Vegan,23.2,4.34,86.81
18-24,Male,Southeast,Omnivore,24.28,8.26,80.17
18-24,Male,Southeast,Vegetarian,16.91,8.99,98.77
25-34,Female,Northeast,Vegan,27.65,4.78,75.98
55+,Female,Northeast,Omnivore,26.33,5.32,45.19
25-34,Female,Midwest,Vegan,25.54,5.61,89.69
55+,Female,West,Omnivore,21.44,4.07,34.69
18-24,Male,Northeast,Vegan,17.89,9.33,39.7
25-34,Female,West,Vegetarian,24.47,7.56,76.88
25-34,Female,Midwest,Keto,16.69,9.42,98.33
18-24,Male,Southwest,Omnivore,22.24,4.28,37.1
25-34,Female,Southeast,Keto,31.02,4.89,97.97
55+,Female,Northeast,Vegan,35.07,9.85,86.51
55+,Female,West,Vegetarian,30.84,4.52,90.4
25-34,Female,Northeast,Keto,26.05,4.68,69.37
35-44,Male,Southeast,Vegetarian,18.24,4.32,68.9
25-34,Female,Midwest,Keto,16.23,4.17,55.95
45-54,Male,Southeast,Vegetarian,36.38,8.51,62.14
35-44,Female,Northeast,Omnivore,21.48,8.61,74.51
25-34,Male,West,Vegan,24.16,5.06,92.07
25-34,Male,Southeast,Vegan,25.67,8.81,85.29
25-34,Female,Southwest,Vegan,34.07,4.05,66.35
18-24,Male,Northeast,Omnivore,28.06,9.92,99.57
55+,Female,West,Keto,30.3,7.64,59.77
35-44,Female,West,Vegetarian,39.33,7.73,34.92
18-24,Female,Northeast,Vegan,21.36,8.98,53.97
25-34,Male,Southeast,Vegetarian,32.39,8.48,71.54
18-24,Female,West,Vegetarian,16.72,4.43,76.81
45-54,Female,Southeast,Omnivore,39.07,9.17,57.21
55+,Female,Midwest,Vegetarian,30.69,4.13,40.74
25-34,Female,Southeast,Vegan,32.7,9.84,63.93
55+,Female,Northeast,Keto,29.94,8.5,49.81
25-34,Female,Southwest,Omnivore,27.91,5.7,87.82
55+,Male,Northeast,Omnivore,41.82,5.94,73.63
45-54,Female,West,Vegan,21.73,5.28,95.43
45-54,Female,Northeast,Omnivore,40.09,9.68,61.25
45-54,Female,West,Keto,40.8,7.79,40.97
35-44,Female,West,Keto,28.48,8.84,46.54
45-54,Male,Midwest,Omnivore,34.34,8.43,58.69
45-54,Male,West,Omnivore,31.02,5.19,68.72
18-24,Male,Southeast,Keto,16.71,9.35,84.77
18-24,Female,West,Omnivore,40.18,8.88,66.02
55+,Male,West,Keto,27.54,9.17,79.39
18-24,Male,Midwest,Vegan,31.25,7.96,55.05
55+,Male,West,Vegetarian,24.74,8.01,97.44
55+,Female,Southwest,Omnivore,30.89,9.33,94.42
18-24,Male,Northeast,Vegan,31.34,5.17,42.61
18-24,Female,Southeast,Omnivore,32.24,5.22,50.35
25-34,Male,Northeast,Omnivore,20.74,5.89,41.61
35-44,Female,Midwest,Vegetarian,31.47,4.58,51.9
55+,Male,West,Keto,20.25,6.54,50.19
18-24,Male,West,Vegetarian,22.25,8.35,66.43
45-54,Male,West,Vegetarian,30.46,7.94,48.04
55+,Female,Northeast,Keto,35.64,4.78,32.11
18-24,Female,Southeast,Omnivore,23.06,4.08,87.33
18-24,Female,West,Vegetarian,25.81,9.31,63.58
55+,Male,Southeast,Omnivore,31.07,7.51,52.52
25-34,Female,Northeast,Omnivore,31.83,9.07,45.3
35-44,Female,Midwest,Omnivore,19.51,5.22,49.95
55+,Female,Southeast,Keto,26.23,8.06,54.5
35-44,Male,Southwest,Keto,41.22,5.95,51.79
45-54,Female,Southeast,Vegetarian,34.66,5.11,92.93
35-44,Female,Northeast,Vegan,19.41,4.73,89.53
35-44,Female,Northeast,Omnivore,40.1,6.31,35.75
55+,Male,Southwest,Omnivore,39.93,9,84.19
18-24,Male,Southwest,Keto,26.35,6.94,32.11
18-24,Female,Southwest,Vegan,20.06,6.61,87
18-24,Male,Southwest,Keto,27.25,6.68,39.82
18-24,Male,Southeast,Vegetarian,19.55,7.53,77.65
18-24,Male,Northeast,Vegetarian,25.29,4.46,37.67
35-44,Male,Northeast,Omnivore,25.76,5.05,57.22
25-34,Female,Midwest,Vegetarian,17.88,4.91,85.26
45-54,Female,Southwest,Keto,38.89,7.34,50.05
35-44,Male,West,Vegan,35.3,9.03,99.06
18-24,Female,Midwest,Vegetarian,39.67,6.45,57.06
55+,Female,Northeast,Vegan,38.11,4.03,45.08
45-54,Male,Northeast,Vegan,39.66,6.76,93.04
25-34,Male,Southwest,Omnivore,35.31,9.97,55.83
18-24,Male,Southwest,Keto,38.48,8.91,61.52
25-34,Female,Northeast,Keto,28.44,5.16,96.59
35-44,Female,Northeast,Vegan,25.22,6.96,58.39
45-54,Male,Northeast,Vegetarian,28.68,6.16,70.26
35-44,Female,Southeast,Vegan,39.26,6.51,99.45
55+,Female,West,Vegetarian,34.18,9.14,84.63
55+,Female,Southeast,Vegan,34.54,7.86,66.4
18-24,Male,Southeast,Keto,21.14,4.48,34.01
35-44,Female,West,Keto,38.23,8.77,51.45
35-44,Female,Southwest,Omnivore,21.57,8.52,81.87
45-54,Female,Midwest,Omnivore,36.27,9.51,85.86
25-34,Male,Midwest,Vegan,34.03,7.45,59.67
55+,Female,Midwest,Keto,23.81,8.11,94.17
18-24,Female,Southwest,Keto,22.72,8.56,43.53
35-44,Male,Southwest,Vegetarian,21.75,8.85,68.41
35-44,Female,Southeast,Omnivore,30.56,5.23,93.1
55+,Female,Northeast,Omnivore,22.49,6.33,59.31
25-34,Male,Northeast,Vegetarian,23.58,4.93,80.31
45-54,Male,Southeast,Keto,34.11,5.06,92.32
55+,Female,Midwest,Vegetarian,25.77,6.69,98.56
45-54,Male,West,Keto,24.86,6.63,66.24
25-34,Male,Southwest,Keto,41.49,7.77,61.37
25-34,Male,Northeast,Vegan,34.88,8.47,77.71
18-24,Female,Southeast,Vegetarian,24.14,4.49,98.39
18-24,Male,Southeast,Keto,22.88,7.5,75.82
45-54,Male,Southeast,Keto,38.91,5.44,85.53
25-34,Male,Midwest,Omnivore,20.35,7.03,72.54
25-34,Male,Northeast,Vegetarian,32.54,6.84,80.92
55+,Male,Midwest,Omnivore,27,4.49,32.66
18-24,Male,West,Vegan,37.95,5.71,85.92
25-34,Male,Southeast,Keto,28.69,5.38,62.55
35-44,Male,Southwest,Omnivore,16.6,5.06,67.93
18-24,Male,Northeast,Keto,21.02,7.46,98.8
55+,Female,Northeast,Omnivore,38.03,7.26,89.62
25-34,Male,Southwest,Omnivore,35.47,7.89,56
55+,Male,Midwest,Keto,41.4,4.75,56.65
55+,Female,Southwest,Keto,33.49,8.39,96.52
25-34,Male,Southwest,Omnivore,17.89,7.47,33.17
45-54,Male,Southwest,Omnivore,33.14,5.77,46
45-54,Male,Southeast,Vegetarian,28.1,8.61,47.6
18-24,Male,Southeast,Keto,31.95,8.03,85.83
18-24,Male,Southeast,Vegan,29.91,9.39,67.46
55+,Female,Northeast,Keto,22.52,8.04,62.11
25-34,Male,Southeast,Omnivore,37.94,6.26,76.34
25-34,Male,West,Vegetarian,28.13,5.78,42.19
25-34,Male,Midwest,Keto,35.34,8.31,80.32
18-24,Male,Southeast,Omnivore,16.51,6.44,46.06
55+,Male,Southeast,Keto,41.12,4.94,72.22
45-54,Male,Southeast,Vegetarian,39.79,9.28,79.13
45-54,Male,Southeast,Omnivore,24.13,8.29,88.56
18-24,Male,Southeast,Vegan,21.38,7.58,60.3
45-54,Female,West,Keto,40.88,8.43,35.31
25-34,Female,West,Omnivore,24.91,9.01,46.45
18-24,Female,Midwest,Keto,37.56,4.95,50.21
35-44,Female,Northeast,Vegan,31.51,6.11,80.64
55+,Male,West,Vegan,19.34,5.53,67.61
35-44,Male,West,Omnivore,27.5,9.43,53.25
25-34,Female,Southwest,Vegan,33.42,5.23,90.43
25-34,Male,Northeast,Vegan,21.21,7.8,96.41
45-54,Male,Midwest,Vegetarian,33.9,7.65,83.66
45-54,Male,Southeast,Omnivore,33.87,9.28,38.79
25-34,Male,West,Omnivore,16.55,4.5,65.91
55+,Male,Northeast,Keto,18.4,9.23,79.79
45-54,Female,Southeast,Keto,21.48,5.76,56.11
25-34,Female,Midwest,Vegetarian,31.52,9.72,80.34
55+,Female,Northeast,Omnivore,40.82,8.36,65.71
35-44,Female,Southwest,Vegetarian,22.91,8.27,99.79
45-54,Male,West,Omnivore,24.48,5.16,80.03
18-24,Female,Southeast,Keto,40.36,9.86,85.88
35-44,Male,Southeast,Vegetarian,29.42,4.5,43.47
55+,Female,Southeast,Omnivore,20.6,4.99,77.36
18-24,Female,Southeast,Vegetarian,26.76,7.68,97.8
55+,Male,Northeast,Vegetarian,27.37,7.22,85.92
25-34,Female,Midwest,Keto,40.23,4.92,65.65
55+,Male,Midwest,Vegan,28.92,8.06,30.09
45-54,Female,West,Omnivore,31.65,4.46,58.54
55+,Male,Midwest,Vegetarian,17.44,9.09,76.52
55+,Male,Southwest,Vegetarian,25.62,8.97,87.89
18-24,Female,West,Omnivore,37.81,9.71,45.04
35-44,Female,Midwest,Keto,32.34,7.16,61.73
45-54,Male,West,Vegan,31.45,6.29,57.67
