school_type,grade_level,subject,gender,score,study_hours,pass_rate
Charter,Grade 11,Music,Male,53.03,1.4,0.456
Public,Grade 11,English,Female,48.95,7.46,0.574
Public,Grade 11,Art,Male,76.65,2.99,0.704
Private,Grade 10,Science,Female,91.09,0.98,0.879
Public,Grade 10,Math,Female,60.58,4.16,0.606
Private,Grade 10,Science,Female,57.18,6.11,0.552
Public,Grade 6,English,Male,45.26,2.42,0.492
Private,Grade 8,Math,Male,83.26,2.49,0.914
Charter,Grade 9,Computer Science,Male,52.32,7.38,0.458
Public,Grade 10,Math,Male,80.76,2.49,0.805
Charter,Grade 7,Computer Science,Female,94.88,6.42,1
Public,Grade 9,History,Female,44.35,5.8,0.46
Charter,Grade 7,Music,Male,95.95,0.68,0.989
Public,Grade 9,Music,Male,58.67,3.69,0.597
Private,Grade 11,Computer Science,Male,68.46,6.66,0.667
Charter,Grade 6,Science,Female,96.88,7.61,0.965
Charter,Grade 7,English,Male,57.97,2.71,0.598
Private,Grade 7,Math,Female,45.92,1.45,0.398
Charter,Grade 7,Math,Female,52.94,4.34,0.433
Private,Grade 9,Math,Female,60.02,5.86,0.636
Private,Grade 7,English,Male,71.05,6.39,0.763
Charter,Grade 9,Math,Female,57.51,1.23,0.572
Charter,Grade 7,History,Male,46.23,1.48,0.371
Public,Grade 9,Art,Female,87.45,6.56,0.966
Charter,Grade 6,Science,Female,67.35,7.18,0.727
Charter,Grade 9,Computer Science,Female,51.62,5.93,0.549
Charter,Grade 8,Computer Science,Male,63.89,1.92,0.68
Public,Grade 10,Music,Female,66.42,2.6,0.627
Public,Grade 6,Art,Male,94.92,5.98,0.901
Private,Grade 11,History,Female,61.95,4.99,0.644
Public,Grade 6,Music,Male,74.84,2.5,0.82
Public,Grade 10,Computer Science,Male,89.46,7.77,0.962
Charter,Grade 7,Math,Male,85.1,0.76,0.862
Public,Grade 8,Art,Male,45.59,7.41,0.481
Public,Grade 6,Math,Female,99.4,4.78,1
Private,Grade 9,History,Male,69.42,1.1,0.671
Charter,Grade 10,English,Male,91.03,2.32,0.877
Public,Grade 9,Computer Science,Male,54.36,1.11,0.5
Private,Grade 9,PE,Male,49.21,0.53,0.49
Private,Grade 8,English,Male,76,5.35,0.741
Charter,Grade 9,History,Female,54.03,0.76,0.584
Charter,Grade 10,Music,Female,64.17,3.68,0.565
Charter,Grade 11,Computer Science,Male,79.88,5.25,0.776
Charter,Grade 10,PE,Male,90.23,6.46,0.902
Public,Grade 11,English,Female,62.96,6.48,0.647
Public,Grade 9,Computer Science,Female,47.58,1.43,0.536
Private,Grade 11,Science,Female,44.26,3.74,0.463
Public,Grade 10,Computer Science,Male,91.88,7.19,0.933
Public,Grade 7,Math,Female,81.68,3.21,0.899
Charter,Grade 7,Math,Female,73.16,7.64,0.722
Charter,Grade 10,Music,Female,88.99,1.34,0.817
Charter,Grade 6,History,Male,90.78,1.03,0.936
Private,Grade 7,Science,Male,53.05,4.42,0.433
Public,Grade 11,History,Male,83.9,7.85,0.763
Public,Grade 11,Math,Male,50.65,7.39,0.588
Public,Grade 7,Art,Male,69.51,6.76,0.718
Charter,Grade 9,Music,Female,55.33,1.74,0.48
Charter,Grade 11,Computer Science,Male,74.4,1.32,0.705
Public,Grade 11,Music,Female,76.58,4.75,0.848
Public,Grade 11,Math,Male,99.02,3.02,0.981
Private,Grade 9,English,Female,88.63,5.72,0.944
Charter,Grade 11,Computer Science,Male,98.53,3.47,1
Public,Grade 8,Art,Female,52.94,7.55,0.616
Charter,Grade 6,Math,Male,58.09,3.06,0.659
Charter,Grade 7,Science,Female,91.45,5.23,0.834
Charter,Grade 8,English,Female,87.01,0.62,0.87
Charter,Grade 11,PE,Male,82.48,2.55,0.914
Private,Grade 10,Math,Female,92.51,3.1,0.913
Private,Grade 6,Computer Science,Male,86.04,3.07,0.77
Charter,Grade 6,English,Male,78.42,2.08,0.686
Charter,Grade 6,Computer Science,Female,63.79,1.61,0.688
Charter,Grade 7,Science,Female,45.5,4.13,0.392
Public,Grade 9,Music,Male,90.95,5.48,0.953
Private,Grade 9,Music,Female,98,3.38,0.92
Public,Grade 6,PE,Female,50.5,1.3,0.492
Public,Grade 9,English,Male,61.29,2.26,0.62
Charter,Grade 11,History,Male,65.34,2.13,0.644
Public,Grade 8,Art,Female,72.86,1.74,0.655
Private,Grade 8,PE,Female,82.96,4.81,0.761
Private,Grade 9,Music,Female,76.31,3.29,0.826
Public,Grade 6,Music,Male,63.02,5.16,0.544
Public,Grade 9,Art,Male,68.74,5.89,0.706
Public,Grade 7,Computer Science,Male,41.17,7.49,0.478
Private,Grade 7,Math,Male,94.99,6.57,0.965
Charter,Grade 9,PE,Male,40.68,1.24,0.385
Private,Grade 7,Math,Male,93.02,3.84,0.869
Public,Grade 8,PE,Male,93.49,4.11,0.858
Public,Grade 7,English,Female,93.43,1.94,0.85
Private,Grade 8,Art,Male,60.73,7.18,0.675
Public,Grade 9,Music,Male,78.01,0.65,0.683
Private,Grade 7,History,Male,58.2,7.97,0.482
Private,Grade 6,Science,Female,85.3,3.51,0.899
Charter,Grade 6,Computer Science,Female,60.51,7.9,0.697
Private,Grade 6,Math,Female,44.81,2.72,0.531
Public,Grade 6,PE,Male,41.38,4.17,0.377
Public,Grade 7,English,Female,40.93,7.7,0.345
Public,Grade 6,English,Male,88.25,1.11,0.904
Private,Grade 7,PE,Male,96.78,1.85,0.954
Public,Grade 10,History,Female,41.05,2.93,0.382
Private,Grade 7,Science,Female,47,0.55,0.525
Charter,Grade 9,Art,Male,56.11,5.75,0.602
Private,Grade 6,PE,Female,85.17,4.32,0.764
Public,Grade 11,Math,Male,80.35,4.57,0.887
Private,Grade 8,Math,Female,99.25,2.24,0.96
Private,Grade 11,Music,Female,46.82,3.91,0.55
Public,Grade 9,Science,Male,78.12,6.23,0.852
Private,Grade 11,Computer Science,Male,87.21,4.68,0.872
Charter,Grade 6,Art,Male,45.46,3.1,0.535
Charter,Grade 11,English,Female,82.52,5.13,0.887
Private,Grade 10,Music,Female,47.53,6.05,0.428
Charter,Grade 8,English,Male,72.07,6.68,0.708
Private,Grade 8,Science,Male,52.74,4.7,0.578
Private,Grade 10,PE,Female,46.01,5.85,0.402
Charter,Grade 6,PE,Male,69.77,4.1,0.599
Public,Grade 8,English,Female,47.37,6.69,0.535
Private,Grade 6,Computer Science,Male,99,1.91,1
Public,Grade 11,Computer Science,Male,51.05,7.53,0.577
Private,Grade 11,Science,Male,48.23,2.39,0.455
Public,Grade 11,Music,Female,71.82,1.87,0.673
Charter,Grade 10,PE,Male,88.64,6.94,0.972
Public,Grade 6,Computer Science,Male,98.06,2.05,1
Public,Grade 11,Music,Male,82.64,1.87,0.766
Public,Grade 9,Computer Science,Male,79.84,1.3,0.851
Charter,Grade 6,Computer Science,Female,41.54,0.74,0.455
Public,Grade 7,History,Female,69.13,6.26,0.781
Public,Grade 10,Science,Female,92.96,3.52,0.898
Private,Grade 8,English,Male,77.3,1.02,0.742
Private,Grade 6,Music,Female,41.43,1.24,0.494
Private,Grade 7,Science,Female,42.85,7.78,0.521
Private,Grade 9,Computer Science,Male,80.72,3.69,0.818
Private,Grade 10,History,Male,79.84,3.69,0.79
Charter,Grade 6,Science,Female,49.53,3.6,0.412
Charter,Grade 9,Music,Female,83.76,0.58,0.813
Public,Grade 10,PE,Female,89.9,6.25,0.834
Private,Grade 6,English,Female,49.39,4.91,0.553
Private,Grade 7,Art,Female,72.87,7.5,0.772
Public,Grade 9,Math,Female,56.65,5.22,0.583
Private,Grade 7,PE,Male,96.57,1.78,0.98
Public,Grade 9,Art,Female,81.04,5.93,0.797
Private,Grade 11,Science,Male,59.32,1.4,0.504
Private,Grade 9,Music,Male,65.24,0.76,0.617
Private,Grade 7,English,Male,71.54,4.25,0.781
Private,Grade 11,English,Male,59.77,7.28,0.637
Charter,Grade 10,Music,Female,46.63,4.15,0.429
Public,Grade 9,History,Male,94.19,1.64,0.902
Private,Grade 6,Computer Science,Male,73.34,3.72,0.724
Private,Grade 7,History,Male,56.65,4.28,0.538
Charter,Grade 7,Computer Science,Female,59.82,3.02,0.675
Public,Grade 8,Computer Science,Female,82.5,2.74,0.789
Charter,Grade 6,PE,Female,59.36,0.9,0.628
Public,Grade 8,English,Female,63.93,2.35,0.619
Charter,Grade 11,Math,Male,99.18,6.85,0.985
Private,Grade 8,Computer Science,Female,72.2,5.59,0.673
Charter,Grade 7,History,Male,78.52,4.8,0.864
Charter,Grade 6,Science,Male,65.64,1.15,0.702
Private,Grade 7,Music,Female,90.53,3.86,0.959
Public,Grade 7,PE,Male,54.62,2.97,0.527
Private,Grade 9,Art,Male,66.99,3.26,0.722
Charter,Grade 6,Math,Female,46.16,3.69,0.479
Public,Grade 9,PE,Female,74.13,7.57,0.82
Private,Grade 8,Computer Science,Female,87.55,1.67,0.791
Public,Grade 11,Computer Science,Female,63.09,3.08,0.544
Charter,Grade 9,History,Female,41.9,1.02,0.411
Private,Grade 9,Art,Female,93.35,2.04,0.857
Charter,Grade 9,English,Female,98.47,5.92,0.946
Private,Grade 9,PE,Female,62.43,4.89,0.622
Public,Grade 8,PE,Male,91.32,1.34,0.881
Public,Grade 8,PE,Male,42.56,0.53,0.506
Charter,Grade 7,Math,Male,99.35,0.69,0.896
Public,Grade 10,Music,Male,70.56,1.98,0.615
Charter,Grade 7,Science,Male,62,2.11,0.602
Public,Grade 8,History,Male,98.98,1.24,1
Public,Grade 6,Science,Male,89.6,6.9,0.827
Public,Grade 11,Computer Science,Male,72.35,7.44,0.702
Public,Grade 10,Science,Male,75.79,5.16,0.691
Public,Grade 9,Music,Male,99.29,4.8,1
Private,Grade 8,PE,Male,71.38,7.68,0.647
Public,Grade 10,Math,Female,80.93,2.51,0.865
Private,Grade 9,Music,Male,74.03,6.07,0.701
Public,Grade 10,English,Female,98.16,1.18,1
Public,Grade 11,Math,Male,74.46,0.61,0.762
Private,Grade 9,Science,Female,65.17,1.84,0.603
Private,Grade 7,Art,Male,71.74,2.24,0.777
Private,Grade 7,Computer Science,Female,63.57,4.82,0.667
Public,Grade 8,PE,Female,58.6,7.69,0.63
Public,Grade 11,History,Male,46.61,6.58,0.551
Charter,Grade 10,Computer Science,Male,89.94,6.62,0.923
Private,Grade 11,Computer Science,Male,94.27,5.85,0.844
Private,Grade 9,Science,Female,65.97,3.34,0.613
Charter,Grade 6,PE,Female,81.7,3.12,0.776
Private,Grade 7,Art,Female,75.16,2.84,0.747
Private,Grade 10,English,Female,62.56,4.84,0.715
Charter,Grade 11,Music,Female,47.13,0.79,0.429
Charter,Grade 7,Music,Female,82.99,6.38,0.789
Private,Grade 7,English,Female,98.32,3.5,1
Private,Grade 6,English,Female,48.44,2.53,0.508
Public,Grade 11,Art,Male,52.03,5.88,0.435
Charter,Grade 6,History,Male,60.87,2.16,0.621
Charter,Grade 6,PE,Male,82.1,4.44,0.818
Charter,Grade 8,History,Male,47.03,0.61,0.554
Charter,Grade 8,Science,Male,80.4,1.8,0.866
Private,Grade 9,Computer Science,Female,60.34,6.89,0.666
Charter,Grade 6,PE,Male,69.9,5.7,0.767
Private,Grade 8,Music,Female,56.3,7.46,0.505
Public,Grade 6,Science,Female,42.07,0.74,0.49
Private,Grade 6,History,Female,84.08,0.84,0.82
Charter,Grade 6,Computer Science,Male,95.45,5.51,1
Charter,Grade 10,Music,Female,49.82,4.27,0.55
Charter,Grade 8,Computer Science,Male,87.29,6.81,0.824
Public,Grade 9,Computer Science,Male,70.46,6.81,0.746
Private,Grade 7,Art,Male,81.04,6.96,0.854
Public,Grade 7,Computer Science,Female,70.01,4.7,0.748
Charter,Grade 7,English,Male,63.89,5.94,0.557
Public,Grade 9,Art,Female,88.87,1.48,0.815
Public,Grade 8,Math,Male,85.83,2.87,0.838
Private,Grade 10,PE,Female,74.99,3.25,0.811
Public,Grade 10,English,Female,86.32,5.73,0.816
Private,Grade 7,Science,Female,85.02,4.44,0.88
Charter,Grade 10,Math,Male,48.7,7.07,0.467
Charter,Grade 7,Math,Male,76.23,4.85,0.8
Public,Grade 8,Math,Male,81.53,6.03,0.818
Charter,Grade 11,Music,Female,68.34,3.91,0.593
Private,Grade 8,PE,Male,74.99,2.25,0.674
Private,Grade 6,Computer Science,Male,69.12,2.23,0.749
Public,Grade 7,PE,Male,69.24,4.67,0.719
Charter,Grade 7,PE,Male,90.57,4.94,0.862
Public,Grade 10,Computer Science,Female,82.06,4.76,0.725
Private,Grade 8,Computer Science,Male,57.29,3.76,0.551
Private,Grade 10,Computer Science,Female,45.42,3.35,0.358
Charter,Grade 6,Math,Male,54.88,4.22,0.575
Public,Grade 10,Math,Female,64.2,0.72,0.591
Private,Grade 10,Math,Male,73.59,3.53,0.651
Public,Grade 9,Computer Science,Male,89.94,3.81,0.916
Charter,Grade 11,Music,Female,43.49,7.65,0.482
Private,Grade 6,English,Male,57.33,5.47,0.57
Public,Grade 8,English,Female,68.02,2.83,0.625
Charter,Grade 10,Math,Male,42.21,7.25,0.33
Public,Grade 9,Math,Male,92.39,7.94,0.981
Private,Grade 9,Music,Male,81.17,7.96,0.769
Private,Grade 9,History,Male,70.07,5.73,0.704
Private,Grade 11,Computer Science,Male,90.95,2.82,0.975
Charter,Grade 11,Music,Male,46.14,0.99,0.499
Charter,Grade 11,Art,Male,66.52,5.48,0.735
Public,Grade 7,Music,Male,97.59,1.74,0.897
Public,Grade 6,Science,Female,82.11,3.15,0.835
Charter,Grade 7,Science,Male,50.09,4.16,0.581
Charter,Grade 8,Science,Male,80.43,7.13,0.874
Public,Grade 7,Music,Female,90.22,7.84,0.85
Public,Grade 6,Art,Male,49.05,2.22,0.475
Charter,Grade 6,Music,Female,60.88,6.31,0.6
Public,Grade 11,Science,Female,87.66,1.7,0.896
Charter,Grade 9,Music,Female,98.13,4.56,0.936
Public,Grade 7,Science,Male,69.69,2.16,0.601
Private,Grade 8,PE,Male,44.82,3.46,0.463
Private,Grade 11,Math,Female,64,2.76,0.576
Charter,Grade 11,Music,Female,48.01,7.57,0.402
Public,Grade 7,Music,Male,71.19,6.38,0.646
Charter,Grade 7,History,Female,47.52,3.43,0.448
Private,Grade 9,Computer Science,Female,53.23,6.69,0.433
Private,Grade 8,Science,Female,94.41,6.44,0.959
Charter,Grade 6,Math,Male,94.97,7.06,0.878
Charter,Grade 8,English,Male,61.77,5.82,0.68
Charter,Grade 7,Art,Male,71.83,7.48,0.63
Public,Grade 10,PE,Male,70.56,4.45,0.64
Private,Grade 9,Computer Science,Male,53.7,4.54,0.566
Charter,Grade 7,Math,Female,97.71,5.91,0.9
Private,Grade 7,History,Male,50.9,2.91,0.483
Public,Grade 11,Science,Male,95.41,4.41,1
Public,Grade 9,English,Male,52.59,3.91,0.444
Public,Grade 7,Computer Science,Male,73.72,6.18,0.77
Public,Grade 8,Math,Male,48.41,0.83,0.552
Public,Grade 11,English,Female,87.15,3.29,0.868
Charter,Grade 11,Math,Male,41.29,3.47,0.365
Private,Grade 10,Music,Female,61.23,1.67,0.67
Private,Grade 8,Music,Female,52.01,3.48,0.62
Public,Grade 11,Computer Science,Female,59.22,7.34,0.652
Charter,Grade 9,Music,Female,64.88,2.16,0.739
Public,Grade 10,History,Female,97.25,5.35,0.987
Private,Grade 7,English,Male,51.73,1.5,0.53
Public,Grade 6,Science,Male,96.27,3.86,0.864
Public,Grade 10,Music,Male,71.76,4.3,0.663
Private,Grade 9,Math,Male,45.43,5.26,0.392
Charter,Grade 7,Science,Female,69.62,6.3,0.784
Private,Grade 9,Music,Male,75.06,2.41,0.807
Public,Grade 11,PE,Male,77.88,6.41,0.79
Private,Grade 10,Computer Science,Female,82.32,6.16,0.83
Private,Grade 6,PE,Male,84.14,6.16,0.742
Charter,Grade 11,Science,Female,97.62,5.4,1
Public,Grade 9,Science,Female,69.6,5.55,0.758
Charter,Grade 7,Music,Male,75.08,1.69,0.763
Private,Grade 7,Math,Male,44.45,5.39,0.534
Charter,Grade 8,Computer Science,Male,68.98,1.3,0.633
Public,Grade 8,English,Female,81.05,4.05,0.834
Charter,Grade 9,Math,Female,72.45,2.56,0.725
Charter,Grade 6,History,Male,42.23,5.7,0.338
Charter,Grade 9,Computer Science,Male,84.76,3.24,0.879
Private,Grade 10,PE,Male,84.1,5.55,0.933
Public,Grade 9,Music,Female,95.27,4.68,1
Private,Grade 11,Music,Female,66.34,4.22,0.718
Public,Grade 9,Science,Male,85.81,2.38,0.923
Charter,Grade 6,Science,Male,66.04,5.77,0.741
Public,Grade 6,Science,Female,78.03,6.73,0.773
Private,Grade 10,Science,Male,51.81,4.5,0.457
Charter,Grade 8,Math,Female,76.88,4.66,0.863
Charter,Grade 10,Computer Science,Female,95.83,7.67,0.904
Charter,Grade 9,English,Female,79.49,6.63,0.866
Private,Grade 9,PE,Male,79.03,6.2,0.725
Public,Grade 10,English,Male,62.84,3.27,0.682
Private,Grade 7,PE,Male,46.22,0.93,0.45
Charter,Grade 11,Math,Female,89.19,6.6,0.961
Public,Grade 11,Art,Male,94.28,0.9,0.999
Charter,Grade 9,Computer Science,Male,53.2,5.57,0.451
Private,Grade 9,Music,Male,99.14,2.68,0.929
Public,Grade 7,Art,Female,92.34,3.91,0.865
Charter,Grade 10,History,Male,64.22,3.09,0.58
Private,Grade 7,PE,Male,78.61,2.17,0.708
Charter,Grade 11,Computer Science,Male,87.88,0.76,0.964
Private,Grade 7,English,Male,54.93,6.9,0.585
Charter,Grade 10,Computer Science,Male,99.13,2.39,1
Charter,Grade 10,PE,Male,97.71,5.86,0.951
Charter,Grade 7,History,Male,84.47,3.18,0.802
Private,Grade 9,Science,Male,62.21,1.62,0.604
Private,Grade 10,PE,Male,65.65,4.86,0.705
Private,Grade 6,Math,Female,73.34,1.87,0.655
Private,Grade 6,English,Female,87.04,1.65,0.861
Public,Grade 7,Math,Male,98.4,3.04,0.907
Public,Grade 11,PE,Female,45.1,1.03,0.466
Private,Grade 8,English,Male,63.71,5.99,0.613
Public,Grade 11,Science,Male,90.66,5.64,0.873
Public,Grade 11,English,Female,44.57,3.81,0.403
Private,Grade 7,Computer Science,Male,64.03,1.52,0.624
Public,Grade 9,Science,Female,84.75,5.38,0.874
Public,Grade 6,History,Male,78.03,5.89,0.862
Public,Grade 7,Art,Male,60.03,4.3,0.69
Charter,Grade 8,Music,Female,74.51,3.56,0.753
Charter,Grade 8,English,Male,70.67,6.21,0.753
Charter,Grade 10,History,Female,93.12,2.12,1
Public,Grade 10,Science,Male,43.83,7.91,0.402
Public,Grade 11,Science,Male,45.23,0.78,0.429
Private,Grade 6,English,Female,86.77,2.64,0.952
Public,Grade 11,Computer Science,Male,91.43,6.66,1
Public,Grade 6,History,Male,88.89,7.49,0.943
Charter,Grade 9,Art,Male,73.95,7.84,0.78
Public,Grade 8,History,Female,78.35,2.81,0.728
Public,Grade 10,PE,Male,65.4,7.73,0.711
Public,Grade 7,Math,Male,74.71,6.4,0.75
Public,Grade 10,PE,Male,46.72,5.46,0.516
Public,Grade 9,History,Male,53.65,6.01,0.484
Private,Grade 10,Math,Male,54.56,5.59,0.633
Charter,Grade 9,English,Male,98.25,5.89,0.944
Public,Grade 8,Science,Male,72.63,2.41,0.767
Charter,Grade 10,PE,Female,46.09,5.09,0.438
Public,Grade 10,Music,Female,47.39,4.84,0.41
Charter,Grade 10,Science,Male,80.64,6.07,0.776
Private,Grade 8,Math,Female,90.49,7.3,0.834
Charter,Grade 10,Math,Male,45.22,4.49,0.359
Charter,Grade 7,History,Female,56.99,4.77,0.644
Public,Grade 11,English,Male,83.09,7,0.758
Public,Grade 8,Math,Female,48.41,1.55,0.418
Private,Grade 7,Art,Male,99.22,1.53,0.924
Private,Grade 11,Science,Female,56.76,6.53,0.477
Charter,Grade 7,Science,Female,83.48,5.28,0.741
Public,Grade 10,Art,Male,60.42,2.33,0.512
Public,Grade 10,Art,Female,50.58,6.23,0.54
Public,Grade 11,Art,Female,74.66,6.4,0.653
Charter,Grade 10,Science,Male,46.39,1.18,0.478
Private,Grade 6,PE,Female,75.62,5.1,0.783
Private,Grade 8,Art,Female,89.89,5.15,0.921
Public,Grade 8,Math,Male,43.66,0.88,0.525
Public,Grade 11,Music,Male,62.1,0.65,0.554
Private,Grade 10,Computer Science,Female,66.15,5.81,0.583
Charter,Grade 10,Math,Male,67.5,5.18,0.697
Private,Grade 11,Music,Female,55.38,5.27,0.522
Public,Grade 6,PE,Male,55.26,3.83,0.482
Charter,Grade 10,English,Male,62.66,4.03,0.631
Private,Grade 7,Music,Female,65.6,5.85,0.687
Charter,Grade 7,Computer Science,Male,63.94,3.52,0.564
Public,Grade 7,English,Female,97.18,6.49,0.984
Public,Grade 9,PE,Female,87.29,3.68,0.945
Private,Grade 10,History,Male,80.15,4.08,0.855
Public,Grade 11,Computer Science,Male,58.73,4.92,0.662
Public,Grade 8,Science,Male,97.92,6.82,0.946
Charter,Grade 9,PE,Male,77.88,5.33,0.687
Public,Grade 11,Computer Science,Male,65.86,7.35,0.638
Private,Grade 11,Computer Science,Female,84.05,1.78,0.752
Charter,Grade 11,Music,Female,57.43,4.77,0.594
Private,Grade 11,Science,Female,70.39,0.86,0.788
Public,Grade 11,English,Male,96.19,6.3,0.969
Public,Grade 10,English,Male,63.34,2.28,0.561
Charter,Grade 9,Computer Science,Female,76.57,5.74,0.702
Charter,Grade 7,PE,Male,46.75,4.96,0.403
Charter,Grade 7,Math,Female,40.07,3.88,0.385
Public,Grade 6,English,Female,82.21,4.31,0.758
Public,Grade 6,Science,Male,78.35,1.51,0.835
Private,Grade 6,Science,Male,52.99,7.79,0.582
Private,Grade 6,Science,Female,91.96,1.74,1
Public,Grade 11,English,Male,71.82,1.18,0.707
Private,Grade 8,Computer Science,Male,98.51,3.82,0.977
Charter,Grade 6,PE,Female,60.57,6.12,0.596
Private,Grade 8,Art,Female,46.46,1.44,0.55
Private,Grade 10,Art,Female,68.88,2.72,0.681
Private,Grade 11,Science,Male,82.59,6.62,0.897
Private,Grade 6,PE,Female,71.76,7.86,0.777
Private,Grade 8,Music,Male,75.7,4.79,0.682
Public,Grade 7,PE,Female,84.2,5.13,0.857
Private,Grade 9,Computer Science,Female,81.52,3.13,0.914
Private,Grade 8,Computer Science,Male,93.35,4.99,1
Charter,Grade 10,History,Male,92.8,4.72,0.865
Charter,Grade 6,Math,Female,91.07,6.91,0.878
Private,Grade 8,English,Female,93.08,3.75,0.951
Public,Grade 10,Art,Male,57.64,0.65,0.656
Private,Grade 9,Computer Science,Female,42.3,3.92,0.401
Private,Grade 8,PE,Male,81.93,1.21,0.773
Private,Grade 8,English,Female,64.02,0.63,0.661
Private,Grade 7,PE,Male,99.02,3.55,0.945
Private,Grade 9,Science,Male,53.33,6.16,0.489
Public,Grade 6,PE,Female,99.03,2.71,1
Private,Grade 8,Computer Science,Male,94.93,5.81,0.867
Charter,Grade 6,Music,Female,74.08,7.36,0.75
Charter,Grade 6,English,Male,76.11,3.03,0.755
Public,Grade 7,History,Male,63.61,7.58,0.646
Charter,Grade 8,Music,Female,80.97,5.26,0.865
Private,Grade 11,Computer Science,Female,96.75,2.32,1
Public,Grade 11,Science,Male,60.91,6.29,0.549
Charter,Grade 9,Science,Male,86.15,6.44,0.794
Charter,Grade 9,Music,Female,67.17,5.06,0.68
Private,Grade 10,Computer Science,Male,91.34,2.44,0.997
Public,Grade 9,Math,Male,59.57,3.54,0.686
Private,Grade 6,Computer Science,Female,41.08,2.44,0.374
Public,Grade 10,Science,Male,93.13,5.68,1
Charter,Grade 6,Science,Female,64.95,4.99,0.611
Private,Grade 9,Science,Male,83.39,1.1,0.917
Charter,Grade 8,PE,Female,93.86,1.53,0.909
Charter,Grade 7,History,Female,67.95,7.61,0.668
Private,Grade 9,History,Female,75.04,2.35,0.746
Private,Grade 8,Art,Female,76.44,0.98,0.857
Private,Grade 6,PE,Male,83.79,4.24,0.802
Charter,Grade 7,Math,Male,50.2,0.82,0.487
Public,Grade 7,English,Female,55.03,6.39,0.595
Private,Grade 6,PE,Female,69.28,3.62,0.779
Charter,Grade 6,English,Female,89.75,2.1,0.961
Private,Grade 9,Music,Female,95.53,2.76,1
Charter,Grade 10,Science,Male,86.52,3.12,0.855
Private,Grade 6,Computer Science,Male,72.21,4.91,0.793
Public,Grade 10,History,Male,64.75,4.96,0.601
Private,Grade 11,English,Female,95.17,4.63,0.916
Charter,Grade 7,PE,Male,88.32,0.9,0.947
Charter,Grade 7,Science,Female,54.47,3.37,0.607
Charter,Grade 10,History,Female,94.51,5,1
Public,Grade 8,Math,Male,86.18,3.76,0.827
Private,Grade 8,English,Female,80.05,7.95,0.889
Public,Grade 8,Computer Science,Male,82.16,1.72,0.9
Charter,Grade 10,Math,Female,44.2,5.02,0.487
Private,Grade 7,History,Male,99.64,4.8,1
Private,Grade 8,English,Male,95.18,3.99,0.892
Charter,Grade 8,Art,Male,88.81,6.19,0.85
Charter,Grade 8,Music,Female,59.97,3.4,0.594
Private,Grade 10,Science,Male,46.69,2.16,0.504
Private,Grade 8,Science,Male,46.74,4.45,0.381
Charter,Grade 8,Music,Female,99.09,3.02,0.907
Public,Grade 9,Math,Male,84.65,2.78,0.873
Private,Grade 11,PE,Female,70.06,2.14,0.601
Private,Grade 8,Math,Female,42.23,3.23,0.496
Charter,Grade 9,Music,Male,62.47,2.06,0.609
Private,Grade 8,History,Female,84.22,6.23,0.844
Charter,Grade 9,Music,Male,45.68,1.15,0.513
Private,Grade 9,History,Female,93.08,5.57,1
Public,Grade 7,Music,Male,51.14,3.45,0.49
Charter,Grade 7,English,Male,53.28,1.37,0.538
Private,Grade 11,Science,Female,70.46,3.82,0.737
Charter,Grade 8,Music,Female,87.84,2.58,0.967
Public,Grade 8,English,Male,85.56,5.52,0.771
Public,Grade 11,Computer Science,Male,67.21,1.4,0.635
Private,Grade 8,Science,Female,72.15,7.01,0.798
Private,Grade 6,Art,Male,61.31,1.84,0.575
Charter,Grade 10,Art,Female,41.37,3.59,0.407
Private,Grade 10,PE,Female,67.29,0.7,0.727
Charter,Grade 8,Music,Female,69.79,6.66,0.776
Public,Grade 10,Music,Female,94.14,6.67,0.859
Charter,Grade 10,History,Female,47.96,4.01,0.553
Public,Grade 8,English,Female,69.59,6.04,0.717
Charter,Grade 8,History,Male,98.19,4.37,1
Private,Grade 6,English,Male,57.11,4.25,0.5
Public,Grade 8,Music,Female,77.7,0.65,0.856
Private,Grade 6,Computer Science,Male,45.62,3.15,0.519
Public,Grade 8,Music,Male,93.91,6.02,0.883
Private,Grade 7,PE,Male,62.62,3.9,0.636
Charter,Grade 11,Science,Female,77.5,0.9,0.867
Public,Grade 7,History,Female,48.72,2.14,0.418
Private,Grade 9,Computer Science,Female,70.18,0.85,0.683
Public,Grade 10,Science,Female,93.42,3.01,0.888
Public,Grade 11,Science,Female,59.89,1.33,0.576
Public,Grade 8,Math,Male,98.02,7.36,0.905
Private,Grade 7,English,Male,92.37,3.2,0.957
Charter,Grade 11,Art,Female,50.26,7.9,0.48
Private,Grade 6,Math,Female,60.55,0.65,0.628
Private,Grade 11,Art,Female,96.54,5.53,1
Public,Grade 10,Computer Science,Male,67.1,0.88,0.703
Public,Grade 10,Math,Male,73.34,2.14,0.679
Private,Grade 8,Math,Male,65.33,6.63,0.613
Charter,Grade 9,Music,Female,68.64,5.51,0.597
Public,Grade 9,Art,Female,82.58,4,0.813
Public,Grade 7,Math,Male,48.21,6.67,0.454
Public,Grade 6,History,Female,72.94,2.2,0.74
Private,Grade 6,Science,Female,61.92,6.44,0.552
Private,Grade 8,Science,Female,44.86,2.81,0.471
Private,Grade 7,History,Female,62.09,1.89,0.599
Public,Grade 8,Math,Male,65.48,5.39,0.746
Charter,Grade 7,Science,Male,42.71,6.27,0.456
